epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,144.2,2.29073,0.47379,0.84486,1.65951,6.63477e-05,6.63477e-05,0.0668925
2,279.792,1.47009,0.587,0.9413,1.22546,0.000132204,0.000132204,0.033625
3,416.446,1.11645,0.6478,0.9392,1.06266,0.000194843,0.000194843,0.000354333
4,549.341,0.91908,0.67086,0.95388,1.02549,0.00018921,0.00018921,0.00018921
5,688.67,0.81131,0.69602,0.96226,0.94798,0.000181093,0.000181093,0.000181093
6,824.274,0.68424,0.7044,0.96226,0.9585,0.000171004,0.000171004,0.000171004
7,963.332,0.56873,0.71698,0.96855,0.91626,0.000159191,0.000159191,0.000159191
8,1100.35,0.51779,0.7044,0.97065,0.94914,0.000145945,0.000145945,0.000145945
9,1240,0.45749,0.72956,0.96436,1.0111,0.000131593,0.000131593,0.000131593
10,1375.35,0.40237,0.72117,0.95388,0.96439,0.000116487,0.000116487,0.000116487
11,1521.41,0.33366,0.69392,0.96226,1.01947,0.000101,0.000101,0.000101
12,1659.01,0.30545,0.69811,0.96646,1.02458,8.5513e-05,8.5513e-05,8.5513e-05
13,1794.8,0.25627,0.72327,0.96646,1.00039,7.04073e-05,7.04073e-05,7.04073e-05
14,1932.22,0.2398,0.72537,0.96226,1.00547,5.60549e-05,5.60549e-05,5.60549e-05
15,2072.45,0.21752,0.73585,0.96646,1.01968,4.28093e-05,4.28093e-05,4.28093e-05
16,2209.88,0.18925,0.73795,0.96646,1.00913,3.09964e-05,3.09964e-05,3.09964e-05
17,2353.57,0.17988,0.73585,0.97275,1.0054,2.09073e-05,2.09073e-05,2.09073e-05
18,2492.56,0.15785,0.74214,0.96646,1.01051,1.27904e-05,1.27904e-05,1.27904e-05
19,2631.45,0.153,0.72956,0.96855,1.04071,6.8454e-06,6.8454e-06,6.8454e-06
20,2772.21,0.15379,0.73375,0.97065,1.02979,3.21885e-06,3.21885e-06,3.21885e-06
